ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,arrayBuffers
74,147.3698,2.1330999999999847,25288704,8978432,4632984,966944,1398503,59891
75,149.4613,2.0914999999999964,25288704,8978432,4641888,975848,1398503,59891
76,151.4457,1.9843999999999937,25292800,8978432,4650792,984752,1398503,59891
77,153.4581,2.0124000000000137,25292800,8978432,4659720,993680,1398503,59891
78,155.5315,2.0733999999999924,25300992,8978432,4668688,1002648,1398503,59891
79,157.4525,1.9209999999999923,25309184,8978432,4677616,1011576,1398503,59891
80,159.3085,1.856000000000023,25317376,8978432,4686544,1020504,1398503,59891
81,161.4446,2.136099999999999,25325568,8978432,4695472,1029432,1398503,59891
82,163.5742,2.129599999999982,25333760,8978432,4704400,1038360,1398503,59891
83,165.6542,2.0800000000000125,25341952,8978432,4713328,1047288,1398503,59891
84,167.6036,1.9493999999999971,25350144,8978432,4722256,1056216,1398503,59891
85,169.5283,1.9247000000000014,25362432,8978432,4731184,1065144,1398503,59891
86,171.3995,1.8711999999999875,25370624,8978432,4740136,1074096,1398503,59891
87,173.5498,2.1503000000000156,25378816,8978432,4749064,1083024,1398503,59891
88,175.4316,1.8817999999999984,25387008,8978432,4758016,1091976,1398503,59891
89,177.4173,1.9857000000000085,25395200,8978432,4766944,1100904,1398503,59891
90,179.5036,2.0862999999999943,25407488,8978432,4775896,1109856,1398503,59891
91,181.6732,2.1696000000000026,25415680,8978432,4784824,1118784,1398503,59891
92,183.7047,2.031499999999994,25423872,8978432,4793752,1127712,1398503,59891
93,185.7855,2.0808000000000106,25432064,8978432,4802680,1136640,1398503,59891
94,187.7283,1.942799999999977,25444352,8978432,4811608,1145568,1398503,59891
95,189.8324,2.1041000000000167,25452544,8978432,4820816,1154776,1406695,68083
96,191.8356,2.0031999999999925,25460736,8978432,4829792,1163752,1406695,68083
97,193.7647,1.9291000000000054,25468928,8978432,4838744,1172704,1406695,68083
98,195.8056,2.0408999999999935,25477120,8978432,4847672,1181632,1406695,68083
99,197.9291,2.123500000000007,25485312,8978432,4856624,1190584,1406695,68083
100,199.9381,2.008999999999986,25493504,8978432,4865552,1199512,1406695,68083
101,201.9902,2.052099999999996,25501696,8978432,4874552,1208512,1406695,68083
102,204.011,2.0208000000000084,25509888,8978432,4883480,1217440,1406695,68083
103,205.9761,1.9651000000000067,25526272,8978432,4892424,1226384,1406695,68083
104,208.0113,2.0352000000000032,25534464,8978432,4901376,1235336,1406695,68083
105,210.2422,2.2308999999999912,25542656,8978432,4910304,1244264,1406695,68083
106,212.3633,2.1211000000000126,25550848,8978432,4919256,1253216,1406695,68083
107,214.4517,2.0883999999999787,25559040,8978432,4928184,1262144,1406695,68083
108,216.5087,2.0570000000000164,25563136,8978432,4937136,1271096,1406695,68083
